"Fecha" "Hora" "TempFondo" "TempEntrada" "TempMedio" "CO2Fondo" "CO2Medio" "CO2Entrada" "HRFondo" "HRMedio" "HREntrada" "ConsumoUE03" "Dia" "TipoDia"
"10" "09/01/2014" "18:00" 27.25 27.91 27.48 712.04 672.56 612.39 42.45 53.15 45.83 4.24 "Lunes" "Laborable"
"21" "09/02/2014" "18:00" 28.26 28.35 27.83 718.85 757.35 624.45 40.13 48.72 43.96 4.45 "Martes" "Laborable"
"32" "09/03/2014" "18:00" 27.03 27.09 27.77 782.57 811.15 718.64 44.83 49.96 47.68 2.75 "Miércoles" "Laborable"
"43" "09/04/2014" "18:00" 27.62 27.33 27.87 816.31 832.39 741.82 47.99 51.63 50.63 1.35 "Jueves" "Laborable"
"54" "09/05/2014" "18:00" 26.94 26.8 26.75 687.72 694.84 540.41 42.74 49.17 46.04 3.94 "Viernes" "Laborable"
"65" "09/08/2014" "18:00" 26.2 26.25 25.63 924.4 960.09 843.53 47.09 51.67 47.65 3.9 "Lunes" "Laborable"
"76" "09/09/2014" "18:00" 27.01 27.27 26.79 718.42 712.85 575.39 47.43 52.28 49.15 3.3 "Martes" "Laborable"
"87" "09/10/2014" "18:00" 27.04 26.9 26.93 948.94 1033.97 883.53 45.09 49.82 47.27 3.11 "Miércoles" "Laborable"
"98" "09/11/2014" "18:00" 27.19 27.49 27.57 767.27 791.23 682.88 42.03 49.06 45.57 3.9 "Jueves" "Laborable"
"109" "09/12/2014" "18:00" 27.02 26.45 27.21 817.4 885.8 702.18 47.46 50.38 49.31 2.68 "Viernes" "Laborable"
"120" "15/09/2014" "18:00" 26.96 26.83 26.53 713.34 771 566.73 49.9 53.02 50.05 2 "Lunes" "Laborable"
"131" "16/09/2014" "18:00" 26.93 26.62 26.64 856.86 919.35 748.73 48.71 52.46 49.97 2.5 "Martes" "Laborable"
"142" "17/09/2014" "18:00" 26.94 26.47 26.52 796.81 857.71 711.69 53.76 55.77 53.45 1.83 "Miércoles" "Laborable"
"153" "18/09/2014" "18:00" 26.93 26.48 26.84 736.73 842.66 663.11 53.36 54.99 53 3 "Jueves" "Laborable"
"164" "19/09/2014" "18:00" 26.89 26.1 26.42 657.63 737.15 551.45 57.57 58.33 56.57 0.44 "Viernes" "Laborable"
"175" "22/09/2014" "18:00" 26.91 25.91 26.19 399.61 488.45 358.15 58.74 59.94 57.25 1 "Lunes" "Laborable"
"186" "23/09/2014" "18:00" 26.88 26.24 26.39 454.9 565.48 435.6 50.85 54.57 51.51 0.81 "Martes" "Laborable"
"197" "24/09/2014" "18:00" 26.93 26.99 26.21 436.21 535.74 385.94 43.4 50.09 45.59 1.56 "Miércoles" "Laborable"
"208" "25/09/2014" "18:00" 27 27.16 26.16 530.23 582.84 446.61 45.19 51.8 46.44 3 "Jueves" "Laborable"
"219" "26/09/2014" "18:00" 26.5 27.31 26.4 660.01 570.07 549.92 40.57 50.16 44.48 3.79 "Viernes" "Laborable"
"230" "29/09/2014" "18:00" 26.02 26.65 25.94 795.22 763.14 677.55 43.67 50.91 45.72 3.43 "Lunes" "Laborable"
"241" "30/09/2014" "18:00" 25.99 26.82 25.96 786.66 747.95 671.27 44.11 51.62 45.35 3 "Martes" "Laborable"
"252" "10/01/2014" "18:00" 26.45 26.92 26.08 430.88 467.99 368.39 54.32 56.7 51 5 "Miércoles" "Laborable"
"263" "10/02/2014" "18:00" 26.38 27.08 26.21 585.38 545.06 527.38 46.46 54.65 47.89 3.81 "Jueves" "Laborable"
"274" "10/03/2014" "18:00" 26.02 26.47 25.94 705.07 750.46 601.89 45.35 50.27 46.16 2.42 "Viernes" "Laborable"
"285" "10/06/2014" "18:00" 25.18 25.03 24.89 588.46 632.13 463.57 57.9 58.51 55.22 0.27 "Lunes" "Laborable"
"296" "10/07/2014" "18:00" 25.67 25.23 25.16 745.34 787.08 633.62 57.47 58.73 55.54 0.27 "Martes" "Laborable"
"307" "10/08/2014" "18:00" 25.08 24.98 24.95 659.93 708.77 569.75 56.69 57.31 53.98 0.27 "Miércoles" "Laborable"
"318" "10/09/2014" "18:00" 24.66 24.82 24.54 609.89 689.93 546.46 55.77 57.01 53.3 0.27 "Jueves" "Laborable"
"329" "10/10/2014" "18:00" 25.08 24.85 23.8 634.76 667.28 609.47 54.03 56.36 52.87 0.3 "Viernes" "Laborable"
"340" "13/10/2014" "18:00" 24.16 23.71 22.87 627.31 667.5 704.81 51.45 55.09 53.53 0.3 "Lunes" "Laborable"
"351" "14/10/2014" "18:00" 25.27 24.83 23.21 714.29 808.84 523.72 51.56 55.81 51 7 "Martes" "Laborable"
"362" "15/10/2014" "18:00" 26.15 25.7 24.44 677.77 772.19 535.38 60 60.85 57.11 7 "Miércoles" "Laborable"
"373" "16/10/2014" "18:00" 25.35 25.31 24.25 647.54 840.62 772.27 57.7 58.96 56.67 0.29 "Jueves" "Laborable"
"384" "17/10/2014" "18:00" 27.39 27.34 25.39 662.25 660.88 466.61 58.08 59.38 53.99 0.27 "Viernes" "Laborable"
"395" "20/10/2014" "18:00" 25.85 25.47 24.57 945.01 950.07 808.22 52.77 54.83 52.56 1.12 "Lunes" "Laborable"
"406" "21/10/2014" "18:00" 26.6 26.58 25.45 799.89 850.05 729.28 53.53 57 54.19 1 "Martes" "Laborable"
"417" "22/10/2014" "18:00" 25.85 26.43 24.66 863.15 803.7 727.23 44.69 52.49 46.04 3.58 "Miércoles" "Laborable"
"428" "23/10/2014" "18:00" 25.01 25.58 24.1 1062.64 1011.79 962.82 43.93 51.43 45.74 2.97 "Jueves" "Laborable"
"439" "24/10/2014" "18:00" 24.97 25.2 24.28 664.25 640.04 426.93 53.62 54.21 51.71 0.3 "Viernes" "Laborable"
"450" "27/10/2014" "18:00" 26.56 26.61 25.13 836.23 826.02 654.9 48.26 52.42 48.59 0.3 "Lunes" "Laborable"
"461" "28/10/2014" "18:00" 25.74 25.66 24.92 827.47 864.26 676.28 40.62 46.42 44.3 3.55 "Martes" "Laborable"
"472" "29/10/2014" "18:00" 25.9 26.13 24.79 893.49 881.29 770.6 48.35 51.37 48.77 1.44 "Miércoles" "Laborable"
"483" "30/10/2014" "18:00" 25.96 26.25 24.74 887.57 806.26 786.66 44.95 51.69 46.85 2.4 "Jueves" "Laborable"
"494" "31/10/2014" "18:00" 26.69 26.73 25.72 666.46 706.3 580.59 53.59 55.32 52.85 0.3 "Viernes" "Laborable"
