"Fecha" "Hora" "TempFondo" "TempEntrada" "TempMedio" "CO2Fondo" "CO2Medio" "CO2Entrada" "HRFondo" "HRMedio" "HREntrada" "ConsumoUE03" "Dia" "TipoDia"
"09/01/2014" "9:00" 26.18 27.28 27.99 477.24 510.62 407.26 50.98 49.88 48.95 1.24 "Lunes" "Laborable"
"09/01/2014" "10:00" 25.45 25.78 27.18 670.39 722.58 577.23 46.53 47.41 47.34 3.56 "Lunes" "Laborable"
"09/01/2014" "11:00" 25.46 25.68 26.89 745.01 795.05 671.41 46.45 47.8 47.81 1.39 "Lunes" "Laborable"
"09/01/2014" "12:00" 26.61 27.39 27.71 742.2 796.13 675.12 50.53 51 50.29 0.3 "Lunes" "Laborable"
"09/01/2014" "13:00" 27.31 28.23 28.26 522.25 558.03 544.34 51.37 53 49.86 0.3 "Lunes" "Laborable"
"09/01/2014" "14:00" 27.28 27.98 27.93 552.22 537.57 497.89 47.95 53.52 48.44 3.39 "Lunes" "Laborable"
"09/01/2014" "15:00" 26.59 27.4 27.19 503 501.66 427.63 45.76 53.53 47.73 8 "Lunes" "Laborable"
"09/01/2014" "16:00" 26.51 27.25 26.98 695.73 711.46 583.4 43.22 48.71 45.02 4.4 "Lunes" "Laborable"
"09/01/2014" "17:00" 26.86 27.55 27.18 860.26 838.58 729.81 41.69 49.16 44.28 4.3 "Lunes" "Laborable"
"09/01/2014" "18:00" 27.25 27.91 27.48 712.04 672.56 612.39 42.45 53.15 45.83 4.24 "Lunes" "Laborable"
"09/01/2014" "19:00" 27.54 28.12 27.62 575.64 571.13 475.96 43.39 53.85 46.56 4.1 "Lunes" "Laborable"
"09/02/2014" "9:00" 27.2 28.13 28.75 459.42 527.75 408.26 51.34 50.48 49.26 1.27 "Martes" "Laborable"
"09/02/2014" "10:00" 26.37 26.85 28.07 605.24 680.1 556.32 44.82 47.23 46.44 3.82 "Martes" "Laborable"
"09/02/2014" "11:00" 25.98 26.52 27.47 684.97 753.85 671.53 43.21 48.3 45.65 3.24 "Martes" "Laborable"
"09/02/2014" "12:00" 25.97 26.62 27.22 714.97 704.6 652.39 43.3 50.68 46.17 4.8 "Martes" "Laborable"
"09/02/2014" "13:00" 25.96 26.83 27 645.55 613.17 591.06 45.54 52.83 47.58 9 "Martes" "Laborable"
"09/02/2014" "14:00" 26.45 26.74 27.05 486.38 488.14 441.74 51.7 55.51 50.38 4.35 "Martes" "Laborable"
"09/02/2014" "15:00" 26.71 27.29 27.16 461.62 457.62 380.49 48.81 58.8 51.29 4.41 "Martes" "Laborable"
"09/02/2014" "16:00" 27.37 27.89 27.45 444.6 448.91 365.28 50.59 59.87 52.59 4.8 "Martes" "Laborable"
"09/02/2014" "17:00" 28.02 28.46 27.85 501.95 491.99 421.1 46.4 57.97 50.23 4.9 "Martes" "Laborable"
"09/02/2014" "18:00" 28.26 28.35 27.83 718.85 757.35 624.45 40.13 48.72 43.96 4.45 "Martes" "Laborable"
"09/02/2014" "19:00" 28.64 28.45 28.03 754.94 799.12 661.43 40.57 47.9 44.49 4.39 "Martes" "Laborable"
"09/03/2014" "9:00" 28.1 28.73 29.54 462.03 515.88 410.21 50.22 50.19 49.24 1.26 "Miércoles" "Laborable"
